DATA;DIURNO;MADRUGADA;TOTAL;VENDA DO DIA;% DA VENDA
17/08/2026;16.137,65;1.230,67;17.368,32;174.185,62;9,97
18/08/2026;17.043,50;1.553,55;18.597,05;187.338,92;9,93
19/08/2026;15.099,81;779,61;15.879,42;182.890,05;8,68
20/08/2026;19.932,16;1.543,10;21.475,26;222.256,46;9,66
21/08/2026;24.210,28;2.472,87;26.683,15;289.329,64;9,22
22/08/2026;29.845,30;4.443,87;34.289,17;326.241,88;10,51
16/09/2026;15.275,55;964,13;16.239,68;175.023,83;9,28
17/09/2026;19.996,37;1.789,19;21.785,56;223.715,16;9,74
18/09/2026;22.923,79;3.256,22;26.180,01;280.473,78;9,33
19/09/2026;23.485,08;4.226,65;27.711,73;302.318,50;9,17
20/09/2026;17.282,72;1.131,02;18.413,74;194.705,53;9,46
21/09/2026;16.898,14;848,88;17.747,02;171.591,22;10,34
22/09/2026;7.806,70;349,14;8.155,84;163.958,83;4,97
23/09/2026;2.712,76;104,51;2.817,27;160.746,78;1,75
24/09/2026;16.576,05;1.386,42;17.962,47;200.540,78;8,96
